2018-03-29 06:36:58,317 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.cheerteam.api.PlayerFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.cheerteam.api.PlayerFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.cheerteam.api.PlayerFacade?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.cheerteam.api.PlayerFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,317 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.user.facade.RegionFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.RegionFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.user.facade.RegionFacade?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.RegionFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,318 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.base.api.InvitationFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.base.api.InvitationFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.base.api.InvitationFacade?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.base.api.InvitationFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,319 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.base.api.VoteFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.base.api.VoteFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.base.api.VoteFacade?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.base.api.VoteFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,319 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.base.team.TeamFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.base.team.TeamFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.base.team.TeamFacade?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.base.team.TeamFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,320 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.user.facade.video.VideoFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.video.VideoFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.user.facade.video.VideoFacade?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.video.VideoFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,321 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.user.facade.customer.ConsumerUserFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.customer.ConsumerUserFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.user.facade.customer.ConsumerUserFacade?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.customer.ConsumerUserFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,321 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.user.facade.admin.CommonFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.admin.CommonFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.user.facade.admin.CommonFacade?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.admin.CommonFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,322 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.user.facade.customer.CustomerGiftFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.customer.CustomerGiftFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.user.facade.customer.CustomerGiftFacade?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.customer.CustomerGiftFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
2018-03-29 06:36:58,322 [ZkClient-EventThread-17-127.0.0.1:2181] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:404) -  [DUBBO] Notify urls for subscribe url admin://193.168.1.166/com.ledong.p2c.platform.user.facade.admin.RoleFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.admin.RoleFacade&version=*, urls: [empty://193.168.1.166/com.ledong.p2c.platform.user.facade.admin.RoleFacade?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.ledong.p2c.platform.user.facade.admin.RoleFacade&version=*], dubbo version: 2.5.5, current host: 193.168.1.166
